Title,director,mpa_rating,length,genre,release_date,imdb_rating,vote_count,synopsis
The Shawshank Redemption,Frank Darabont,R,2h 22min,Drama,14 October 1994 (USA),9.3,"2,209,473","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
Grave of the Fireflies,Isao Takahata,Not Rated,1h 29min,Animation,26 July 1989 (USA),8.5,"214,227",A young boy and his little sister struggle to survive in Japan during World War II.
Once Upon a Time in the West,Sergio Leone,PG-13,2h 45min,Western,4 July 1969 (USA),8.5,"286,220",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
Casablanca,Michael Curtiz,PG,1h 42min,Drama,23 January 1943 (USA),8.5,"497,385",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.
The Prestige,Christopher Nolan,PG-13,2h 10min,Drama,20 October 2006 (USA),8.5,"1,120,496","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
The Departed,Martin Scorsese,R,2h 31min,Crime,6 October 2006 (USA),8.5,"1,129,266",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Joker,Todd Phillips,R,2h 2min,Crime,4 October 2019 (USA),8.5,"734,812","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
Whiplash,Damien Chazelle,R,1h 46min,Drama,15 October 2014 (Philippines),8.5,"664,525",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
The Intouchables,Olivier Nakache,R,1h 52min,Biography,2 November 2011 (France),8.5,"716,066","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
City Lights,Charles Chaplin,G,1h 27min,Comedy,7 March 1931 (USA),8.5,"156,804","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
Psycho,Alfred Hitchcock,R,1h 49min,Horror,8 September 1960 (USA),8.5,"568,223","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."
Modern Times,Charles Chaplin,G,1h 27min,Comedy,25 February 1936 (USA),8.5,"203,699",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
Back to the Future,Robert Zemeckis,PG,1h 56min,Adventure,3 July 1985 (USA),8.5,"988,585","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
Throne of Blood,Akira Kurosawa,Not Rated,1h 50min,Drama,22 November 1961 (USA),8.1,"42,237","A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle."
PK,Rajkumar Hirani,Not Rated,2h 33min,Comedy,19 December 2014 (India),8.1,"149,251",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people.
White Heat,Raoul Walsh,Not Rated,1h 54min,Action,3 September 1949 (USA),8.1,"27,826",A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.
Terminator 2: Judgment Day,James Cameron,R,2h 17min,Action,3 July 1991 (USA),8.5,"954,123","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
